timestamp,signal_percent,reason,prediction_mwh,created_at
2026-01-29 15:15:15.474107+00,59,proportional: imbalance=-0.95MWh,-0.9531448317908432,2026-01-29 15:15:15.535629+00
2026-01-29 15:18:15.663494+00,42,proportional: imbalance=0.74MWh,0.7437271601783386,2026-01-29 15:18:15.683067+00
2026-01-29 15:21:15.75861+00,100,imbalance=-5.91MWh < -5.0MW,-5.90889216251613,2026-01-29 15:21:15.772435+00
2026-01-29 15:24:15.384474+00,100,imbalance=-8.53MWh < -5.0MW,-8.530732083351502,2026-01-29 15:24:15.39016+00
2026-01-29 15:27:15.523585+00,100,imbalance=-10.54MWh < -5.0MW,-10.538701458442157,2026-01-29 15:27:15.531287+00
2026-01-29 15:30:15.844059+00,88,proportional: imbalance=-3.82MWh,-3.8235304565232684,2026-01-29 15:30:15.849797+00
2026-01-29 15:33:15.522058+00,100,imbalance=-5.82MWh < -5.0MW,-5.823996436965624,2026-01-29 15:33:15.528635+00
2026-01-29 15:36:15.601383+00,100,imbalance=-5.60MWh < -5.0MW,-5.599450138288873,2026-01-29 15:36:15.607575+00
2026-01-29 15:39:15.662726+00,98,proportional: imbalance=-4.89MWh,-4.890999084581571,2026-01-29 15:39:15.669292+00
2026-01-29 15:42:15.586196+00,96,proportional: imbalance=-4.64MWh,-4.6400290361661956,2026-01-29 15:42:15.601875+00
2026-01-29 15:45:15.865605+00,79,proportional: imbalance=-3.00MWh,-2.999371599619714,2026-01-29 15:45:15.879477+00
2026-01-29 15:48:15.416981+00,100,imbalance=-5.39MWh < -5.0MW,-5.392608460234037,2026-01-29 15:48:15.424764+00
2026-01-29 15:51:15.670569+00,100,imbalance=-7.39MWh < -5.0MW,-7.390138556178687,2026-01-29 15:51:15.677049+00
2026-01-29 15:54:15.431924+00,100,imbalance=-6.55MWh < -5.0MW,-6.552950032965938,2026-01-29 15:54:15.440169+00
2026-01-29 15:57:15.673911+00,100,imbalance=-6.78MWh < -5.0MW,-6.780722314311481,2026-01-29 15:57:15.686962+00
2026-01-29 16:00:19.232436+00,81,proportional: imbalance=-3.13MWh,-3.1330822008782215,2026-01-29 16:00:19.23852+00
2026-01-29 16:03:15.586895+00,100,imbalance=-8.23MWh < -5.0MW,-8.226626167782896,2026-01-29 16:03:15.592416+00
2026-01-29 16:06:15.460659+00,100,imbalance=-7.10MWh < -5.0MW,-7.1018956990498845,2026-01-29 16:06:15.473486+00
2026-01-29 16:09:16.155768+00,100,imbalance=-6.55MWh < -5.0MW,-6.548875099011876,2026-01-29 16:09:16.162533+00
2026-01-29 16:12:15.505441+00,100,imbalance=-10.03MWh < -5.0MW,-10.02543860502846,2026-01-29 16:12:15.5114+00
2026-01-29 16:15:15.748096+00,100,imbalance=-5.24MWh < -5.0MW,-5.241105899763441,2026-01-29 16:15:15.760413+00
2026-01-29 16:18:15.49321+00,100,imbalance=-6.37MWh < -5.0MW,-6.37352800927083,2026-01-29 16:18:15.505842+00
2026-01-29 16:21:15.74186+00,100,imbalance=-9.69MWh < -5.0MW,-9.688248162051936,2026-01-29 16:21:15.756939+00
2026-01-29 16:24:15.477804+00,100,imbalance=-10.87MWh < -5.0MW,-10.870987301824963,2026-01-29 16:24:15.484205+00
2026-01-29 16:27:15.456384+00,100,imbalance=-11.74MWh < -5.0MW,-11.738296938451741,2026-01-29 16:27:15.47931+00
2026-01-29 16:30:15.695163+00,100,imbalance=-5.58MWh < -5.0MW,-5.580581698200946,2026-01-29 16:30:15.700942+00
2026-01-29 16:33:15.449936+00,94,proportional: imbalance=-4.50MWh,-4.497743578491719,2026-01-29 16:33:15.456029+00
2026-01-29 16:36:15.665977+00,95,proportional: imbalance=-4.53MWh,-4.530368847126512,2026-01-29 16:36:15.672211+00
2026-01-29 16:39:15.667918+00,100,imbalance=-5.58MWh < -5.0MW,-5.582750571219422,2026-01-29 16:39:15.675407+00
2026-01-29 16:42:15.533583+00,100,imbalance=-6.42MWh < -5.0MW,-6.416545384089395,2026-01-29 16:42:15.54873+00
2026-01-29 16:45:15.465455+00,100,imbalance=-5.26MWh < -5.0MW,-5.256589161161192,2026-01-29 16:45:15.47902+00
2026-01-29 16:48:15.401669+00,100,imbalance=-8.08MWh < -5.0MW,-8.075996298895022,2026-01-29 16:48:15.41431+00
2026-01-29 16:51:15.649209+00,100,imbalance=-6.69MWh < -5.0MW,-6.686312653922218,2026-01-29 16:51:15.661392+00
2026-01-29 16:54:15.445909+00,99,proportional: imbalance=-4.96MWh,-4.962109428025212,2026-01-29 16:54:15.467124+00
2026-01-29 16:57:15.661585+00,80,proportional: imbalance=-3.08MWh,-3.081721287533832,2026-01-29 16:57:15.678222+00
2026-01-29 17:00:15.439853+00,71,proportional: imbalance=-2.15MWh,-2.149556634106132,2026-01-29 17:00:15.446393+00
2026-01-29 17:03:15.706586+00,85,proportional: imbalance=-3.54MWh,-3.5407891597164567,2026-01-29 17:03:15.720039+00
2026-01-29 17:06:15.520141+00,82,proportional: imbalance=-3.29MWh,-3.2935868556436687,2026-01-29 17:06:15.534007+00
2026-01-29 17:09:15.496049+00,90,proportional: imbalance=-4.01MWh,-4.007560747170475,2026-01-29 17:09:15.505448+00
2026-01-29 17:12:15.441086+00,99,proportional: imbalance=-4.93MWh,-4.92662539319086,2026-01-29 17:12:15.447192+00
2026-01-29 17:15:15.630926+00,100,imbalance=-5.28MWh < -5.0MW,-5.275414757439311,2026-01-29 17:15:15.644331+00
2026-01-29 17:18:15.694853+00,96,proportional: imbalance=-4.66MWh,-4.6604071911880895,2026-01-29 17:18:15.700363+00
2026-01-29 17:21:15.683977+00,76,proportional: imbalance=-2.62MWh,-2.6183373254780555,2026-01-29 17:21:15.699281+00
2026-01-29 17:24:15.494931+00,94,proportional: imbalance=-4.44MWh,-4.443773443701041,2026-01-29 17:24:15.500344+00
2026-01-29 17:27:15.660748+00,100,imbalance=-5.54MWh < -5.0MW,-5.540106050571532,2026-01-29 17:27:15.666198+00
2026-01-29 17:30:15.775257+00,83,proportional: imbalance=-3.34MWh,-3.3372312071597316,2026-01-29 17:30:15.781265+00
2026-01-29 17:33:15.552492+00,82,proportional: imbalance=-3.30MWh,-3.2967401743579967,2026-01-29 17:33:15.558282+00
2026-01-29 17:36:15.489091+00,70,proportional: imbalance=-2.05MWh,-2.0451368436663167,2026-01-29 17:36:15.495338+00
2026-01-29 17:39:15.755234+00,41,proportional: imbalance=0.82MWh,0.8243753493010989,2026-01-29 17:39:15.761948+00
2026-01-29 17:42:15.706773+00,28,proportional: imbalance=2.12MWh,2.1207550310248573,2026-01-29 17:42:15.712007+00
2026-01-29 17:45:15.492445+00,44,proportional: imbalance=0.53MWh,0.5294683022801933,2026-01-29 17:45:15.498413+00
2026-01-29 17:48:15.520361+00,22,proportional: imbalance=2.78MWh,2.7839573190330564,2026-01-29 17:48:15.534429+00
2026-01-29 17:51:15.646339+00,39,proportional: imbalance=1.09MWh,1.0945848561594946,2026-01-29 17:51:15.652013+00
2026-01-29 17:54:15.551536+00,29,proportional: imbalance=2.05MWh,2.0462832447057813,2026-01-29 17:54:15.558369+00
2026-01-29 17:57:15.494913+00,31,proportional: imbalance=1.90MWh,1.8970000396925082,2026-01-29 17:57:15.502282+00
2026-01-29 18:00:16.193243+00,40,proportional: imbalance=0.94MWh,0.9408174620548916,2026-01-29 18:00:16.198642+00
2026-01-29 18:03:15.716625+00,49,proportional: imbalance=0.09MWh,0.09143786476896257,2026-01-29 18:03:15.722985+00
2026-01-29 18:06:15.582671+00,100,imbalance=-6.94MWh < -5.0MW,-6.943064175169277,2026-01-29 18:06:15.588522+00
2026-01-29 18:09:15.612305+00,100,imbalance=-8.93MWh < -5.0MW,-8.934172915457125,2026-01-29 18:09:15.623534+00
2026-01-29 18:12:15.470202+00,100,imbalance=-5.30MWh < -5.0MW,-5.29538141461517,2026-01-29 18:12:15.475766+00
2026-01-29 18:15:15.763244+00,68,proportional: imbalance=-1.80MWh,-1.8027755344040093,2026-01-29 18:15:15.778631+00
2026-01-29 18:18:15.481181+00,81,proportional: imbalance=-3.18MWh,-3.1774222419168594,2026-01-29 18:18:15.495128+00
2026-01-29 18:21:15.526586+00,74,proportional: imbalance=-2.45MWh,-2.4492252139764683,2026-01-29 18:21:15.532641+00
2026-01-29 18:24:15.65318+00,21,proportional: imbalance=2.86MWh,2.861846818965796,2026-01-29 18:24:15.667899+00
2026-01-29 18:27:15.661987+00,0,imbalance=5.49MWh > 5.0MW,5.49462896841699,2026-01-29 18:27:15.677919+00
2026-01-29 18:30:15.712444+00,18,proportional: imbalance=3.11MWh,3.107110048400567,2026-01-29 18:30:15.724815+00
2026-01-29 18:33:15.499955+00,75,proportional: imbalance=-2.51MWh,-2.514146845457395,2026-01-29 18:33:15.530857+00
2026-01-29 18:36:15.694027+00,100,imbalance=-5.75MWh < -5.0MW,-5.754852683617735,2026-01-29 18:36:15.70773+00
2026-01-29 18:39:16.101782+00,94,proportional: imbalance=-4.49MWh,-4.486786888378363,2026-01-29 18:39:16.114913+00
2026-01-29 18:42:15.662915+00,92,proportional: imbalance=-4.28MWh,-4.276044770389305,2026-01-29 18:42:15.669331+00
2026-01-29 18:45:16.511545+00,67,proportional: imbalance=-1.70MWh,-1.7018029077133572,2026-01-29 18:45:16.517813+00
2026-01-29 18:48:16.12629+00,100,imbalance=-5.48MWh < -5.0MW,-5.4848017845622525,2026-01-29 18:48:16.134429+00
2026-01-29 18:51:16.142418+00,100,imbalance=-9.03MWh < -5.0MW,-9.030536185840305,2026-01-29 18:51:16.149908+00
2026-01-29 18:54:15.307094+00,100,imbalance=-11.18MWh < -5.0MW,-11.177214670767563,2026-01-29 18:54:15.314616+00
2026-01-29 18:57:15.568359+00,100,imbalance=-6.94MWh < -5.0MW,-6.937833696068668,2026-01-29 18:57:15.575229+00
2026-01-29 19:00:15.818531+00,82,proportional: imbalance=-3.22MWh,-3.220756690369718,2026-01-29 19:00:15.825128+00
2026-01-29 19:03:15.7062+00,100,imbalance=-12.44MWh < -5.0MW,-12.44174587080919,2026-01-29 19:03:15.712471+00
2026-01-29 19:06:15.658309+00,100,imbalance=-11.98MWh < -5.0MW,-11.983843321289465,2026-01-29 19:06:15.667201+00
2026-01-29 19:09:15.783456+00,100,imbalance=-12.74MWh < -5.0MW,-12.740804043868058,2026-01-29 19:09:15.796129+00
2026-01-29 19:12:15.50999+00,100,imbalance=-12.45MWh < -5.0MW,-12.452632498547905,2026-01-29 19:12:15.531665+00
2026-01-29 19:15:15.769041+00,92,proportional: imbalance=-4.23MWh,-4.227558792714307,2026-01-29 19:15:15.784147+00
2026-01-29 19:18:15.731488+00,100,imbalance=-9.12MWh < -5.0MW,-9.116135779672023,2026-01-29 19:18:15.742709+00
2026-01-29 19:21:15.996115+00,100,imbalance=-10.25MWh < -5.0MW,-10.248374629060693,2026-01-29 19:21:16.01274+00
2026-01-29 19:24:15.627557+00,100,imbalance=-6.23MWh < -5.0MW,-6.232682638400335,2026-01-29 19:24:15.633518+00
2026-01-29 19:27:15.837947+00,100,imbalance=-5.77MWh < -5.0MW,-5.766205108034319,2026-01-29 19:27:15.844139+00
2026-01-29 19:30:15.969581+00,90,proportional: imbalance=-4.03MWh,-4.025874754813105,2026-01-29 19:30:15.987965+00
2026-01-29 19:33:16.630854+00,100,imbalance=-8.07MWh < -5.0MW,-8.072930908809179,2026-01-29 19:33:16.867752+00
2026-01-29 19:36:15.389024+00,100,imbalance=-8.47MWh < -5.0MW,-8.474690785033088,2026-01-29 19:36:15.481998+00
2026-01-29 19:39:15.365324+00,100,imbalance=-8.01MWh < -5.0MW,-8.005000837740631,2026-01-29 19:39:15.484123+00
2026-01-29 19:42:15.86728+00,100,imbalance=-7.84MWh < -5.0MW,-7.842058143570048,2026-01-29 19:42:15.885258+00
2026-01-29 19:45:15.908212+00,100,imbalance=-7.97MWh < -5.0MW,-7.9740841865070635,2026-01-29 19:45:15.916726+00
2026-01-29 19:48:15.606194+00,100,imbalance=-14.71MWh < -5.0MW,-14.706753212043564,2026-01-29 19:48:15.613553+00
2026-01-29 19:51:15.640382+00,100,imbalance=-15.95MWh < -5.0MW,-15.95008067131743,2026-01-29 19:51:15.648699+00
2026-01-29 19:54:15.803811+00,100,imbalance=-15.65MWh < -5.0MW,-15.653794973262233,2026-01-29 19:54:15.811778+00
2026-01-29 19:57:15.192132+00,100,imbalance=-15.59MWh < -5.0MW,-15.59077740465668,2026-01-29 19:57:15.222929+00
2026-01-29 20:00:16.416957+00,100,imbalance=-5.60MWh < -5.0MW,-5.5957938550451365,2026-01-29 20:00:16.488244+00
2026-01-29 20:03:15.159359+00,84,proportional: imbalance=-3.45MWh,-3.4489976142725522,2026-01-29 20:03:15.178804+00
2026-01-29 20:06:16.938898+00,79,proportional: imbalance=-2.92MWh,-2.9150212210176414,2026-01-29 20:06:16.959627+00
2026-01-29 20:09:15.234601+00,63,proportional: imbalance=-1.38MWh,-1.376534421156867,2026-01-29 20:09:15.253813+00
2026-01-29 20:12:15.308171+00,58,proportional: imbalance=-0.90MWh,-0.89719763453318,2026-01-29 20:12:15.430909+00
2026-01-29 20:15:19.729414+00,91,proportional: imbalance=-4.14MWh,-4.142896265159361,2026-01-29 20:15:19.747202+00
2026-01-29 20:18:15.209183+00,100,imbalance=-7.07MWh < -5.0MW,-7.073757345271014,2026-01-29 20:18:15.235797+00
2026-01-29 20:21:15.375639+00,100,imbalance=-12.87MWh < -5.0MW,-12.87266120265375,2026-01-29 20:21:15.39643+00
2026-01-29 20:24:15.331546+00,100,imbalance=-10.75MWh < -5.0MW,-10.749883980438463,2026-01-29 20:24:15.348956+00
2026-01-29 20:27:15.229895+00,100,imbalance=-10.92MWh < -5.0MW,-10.922012082630797,2026-01-29 20:27:15.248606+00
2026-01-29 20:30:15.090289+00,97,proportional: imbalance=-4.70MWh,-4.704640622567114,2026-01-29 20:30:15.105013+00
2026-01-29 20:33:15.330432+00,100,imbalance=-6.76MWh < -5.0MW,-6.7606299606251445,2026-01-29 20:33:15.34378+00
2026-01-29 20:36:15.43624+00,100,imbalance=-12.45MWh < -5.0MW,-12.445827810608552,2026-01-29 20:36:15.461302+00
2026-01-29 20:39:15.518906+00,100,imbalance=-8.99MWh < -5.0MW,-8.992682176212309,2026-01-29 20:39:15.534935+00
2026-01-29 20:42:15.366106+00,100,imbalance=-7.21MWh < -5.0MW,-7.20777211643348,2026-01-29 20:42:15.372909+00
2026-01-29 20:45:15.605002+00,100,imbalance=-7.10MWh < -5.0MW,-7.100451626796091,2026-01-29 20:45:15.644041+00
2026-01-29 20:48:15.325355+00,100,imbalance=-12.07MWh < -5.0MW,-12.07445623494299,2026-01-29 20:48:15.344678+00
2026-01-29 20:51:15.374162+00,100,imbalance=-16.58MWh < -5.0MW,-16.582685872691545,2026-01-29 20:51:15.383287+00
2026-01-29 20:54:15.435513+00,100,imbalance=-11.50MWh < -5.0MW,-11.496739108853255,2026-01-29 20:54:15.445799+00
2026-01-29 20:57:15.283611+00,100,imbalance=-11.35MWh < -5.0MW,-11.353212472645993,2026-01-29 20:57:15.291665+00
2026-01-29 21:00:17.166746+00,81,proportional: imbalance=-3.17MWh,-3.173965851273226,2026-01-29 21:00:17.175454+00
2026-01-29 21:03:15.818048+00,64,proportional: imbalance=-1.49MWh,-1.4852628784024908,2026-01-29 21:03:15.826772+00
2026-01-29 21:06:15.671474+00,61,proportional: imbalance=-1.14MWh,-1.1414622221728548,2026-01-29 21:06:15.685243+00
2026-01-29 21:09:15.780773+00,66,proportional: imbalance=-1.70MWh,-1.6985401812132759,2026-01-29 21:09:15.786965+00
2026-01-29 21:12:15.473222+00,84,proportional: imbalance=-3.44MWh,-3.443268732303539,2026-01-29 21:12:15.487798+00
2026-01-29 21:15:15.92748+00,93,proportional: imbalance=-4.36MWh,-4.364422822509047,2026-01-29 21:15:15.937385+00
2026-01-29 21:18:15.656576+00,100,imbalance=-5.80MWh < -5.0MW,-5.802956508559161,2026-01-29 21:18:15.663711+00
2026-01-29 21:21:15.444152+00,100,imbalance=-7.78MWh < -5.0MW,-7.780968644510546,2026-01-29 21:21:15.449926+00
2026-01-29 21:24:15.745362+00,100,imbalance=-5.86MWh < -5.0MW,-5.85717116564292,2026-01-29 21:24:15.760308+00
2026-01-29 21:27:15.72833+00,100,imbalance=-9.42MWh < -5.0MW,-9.423249582562024,2026-01-29 21:27:15.73633+00
2026-01-29 21:30:15.864426+00,67,proportional: imbalance=-1.76MWh,-1.757413204367149,2026-01-29 21:30:15.870901+00
2026-01-29 21:33:15.525843+00,100,imbalance=-5.68MWh < -5.0MW,-5.679249055676405,2026-01-29 21:33:15.544563+00
2026-01-29 21:36:15.72646+00,100,imbalance=-5.89MWh < -5.0MW,-5.8902733648120105,2026-01-29 21:36:15.735432+00
2026-01-29 21:39:15.746571+00,89,proportional: imbalance=-3.96MWh,-3.9582679958667395,2026-01-29 21:39:15.751985+00
2026-01-29 21:42:15.472456+00,85,proportional: imbalance=-3.54MWh,-3.5398537859085737,2026-01-29 21:42:15.478517+00
2026-01-29 21:45:15.981396+00,75,proportional: imbalance=-2.50MWh,-2.5010224792156115,2026-01-29 21:45:15.987049+00
2026-01-29 21:48:15.410989+00,96,proportional: imbalance=-4.70MWh,-4.695661482499975,2026-01-29 21:48:15.425616+00
2026-01-29 21:51:15.609276+00,82,proportional: imbalance=-3.21MWh,-3.2083592148067734,2026-01-29 21:51:15.614665+00
2026-01-29 21:54:15.653505+00,84,proportional: imbalance=-3.40MWh,-3.4003785736085534,2026-01-29 21:54:15.659444+00
2026-01-29 21:57:15.583897+00,70,proportional: imbalance=-2.02MWh,-2.0163770314704212,2026-01-29 21:57:15.595437+00
2026-01-29 22:00:16.405861+00,73,proportional: imbalance=-2.36MWh,-2.3634564129263573,2026-01-29 22:00:16.412171+00
2026-01-29 22:03:15.655368+00,42,proportional: imbalance=0.71MWh,0.7057376286389947,2026-01-29 22:03:15.664151+00
2026-01-29 22:06:15.809019+00,0,imbalance=5.81MWh > 5.0MW,5.814902128352136,2026-01-29 22:06:15.819384+00
2026-01-29 22:09:15.642647+00,0,imbalance=9.76MWh > 5.0MW,9.758820080515545,2026-01-29 22:09:15.656741+00
2026-01-29 22:12:15.47224+00,0,imbalance=10.66MWh > 5.0MW,10.661842949989145,2026-01-29 22:12:15.48628+00
2026-01-29 22:15:15.987075+00,60,proportional: imbalance=-1.08MWh,-1.0821994819739944,2026-01-29 22:15:16.001584+00
2026-01-29 22:18:15.226936+00,43,proportional: imbalance=0.65MWh,0.6505468435169994,2026-01-29 22:18:15.240043+00
2026-01-29 22:21:15.611907+00,33,proportional: imbalance=1.65MWh,1.648793609847626,2026-01-29 22:21:15.625119+00
2026-01-29 22:24:15.446517+00,18,proportional: imbalance=3.12MWh,3.1234070011079007,2026-01-29 22:24:15.458419+00
2026-01-29 22:27:15.664679+00,0,imbalance=8.51MWh > 5.0MW,8.513521948492047,2026-01-29 22:27:15.671969+00
2026-01-29 22:30:15.813578+00,32,proportional: imbalance=1.73MWh,1.7336248371029606,2026-01-29 22:30:15.820112+00
2026-01-29 22:33:15.484195+00,49,proportional: imbalance=0.01MWh,0.0070154274630648845,2026-01-29 22:33:15.489717+00
2026-01-29 22:36:15.271388+00,72,proportional: imbalance=-2.29MWh,-2.287294204717532,2026-01-29 22:36:15.276728+00
2026-01-29 22:39:15.646336+00,24,proportional: imbalance=2.58MWh,2.5800217855870837,2026-01-29 22:39:15.651711+00
2026-01-29 22:42:15.520189+00,28,proportional: imbalance=2.14MWh,2.1369818542957457,2026-01-29 22:42:15.526124+00
2026-01-29 22:45:15.667017+00,30,proportional: imbalance=1.93MWh,1.9332515042872136,2026-01-29 22:45:15.673425+00
2026-01-29 22:48:15.674729+00,47,proportional: imbalance=0.21MWh,0.20644675521523465,2026-01-29 22:48:15.686165+00
2026-01-29 22:51:15.800371+00,37,proportional: imbalance=1.28MWh,1.2767779210141346,2026-01-29 22:51:15.81361+00
2026-01-29 22:54:15.521837+00,12,proportional: imbalance=3.78MWh,3.7786915904684726,2026-01-29 22:54:15.535235+00
2026-01-29 22:57:15.665114+00,33,proportional: imbalance=1.66MWh,1.6600409224333286,2026-01-29 22:57:15.679058+00
2026-01-29 23:00:15.494073+00,20,proportional: imbalance=2.94MWh,2.9409942203229145,2026-01-29 23:00:15.503529+00
2026-01-29 23:03:15.436966+00,60,proportional: imbalance=-1.07MWh,-1.0714007553143952,2026-01-29 23:03:15.44895+00
2026-01-29 23:06:15.504592+00,43,proportional: imbalance=0.62MWh,0.6212215131244173,2026-01-29 23:06:15.510182+00
2026-01-29 23:09:15.717751+00,44,proportional: imbalance=0.50MWh,0.5019126620898223,2026-01-29 23:09:15.732105+00
2026-01-29 23:12:15.665488+00,62,proportional: imbalance=-1.23MWh,-1.2340060273991798,2026-01-29 23:12:15.673446+00
2026-01-29 23:15:14.702419+00,36,proportional: imbalance=1.38MWh,1.384826042116269,2026-01-29 23:15:14.707821+00
2026-01-29 23:18:15.825064+00,39,proportional: imbalance=1.09MWh,1.0927332393225304,2026-01-29 23:18:15.830458+00
2026-01-29 23:21:15.832416+00,54,proportional: imbalance=-0.50MWh,-0.4992503543076633,2026-01-29 23:21:15.844337+00
2026-01-29 23:24:15.576028+00,61,proportional: imbalance=-1.17MWh,-1.1711354936051588,2026-01-29 23:24:15.581393+00
2026-01-29 23:27:15.74541+00,45,proportional: imbalance=0.47MWh,0.469472447283398,2026-01-29 23:27:15.769576+00
2026-01-29 23:30:15.609384+00,38,proportional: imbalance=1.18MWh,1.1783757189649233,2026-01-29 23:30:15.621833+00
2026-01-29 23:33:15.665391+00,73,proportional: imbalance=-2.35MWh,-2.354141798105086,2026-01-29 23:33:15.677688+00
2026-01-29 23:36:15.658638+00,49,proportional: imbalance=0.01MWh,0.005819394400248515,2026-01-29 23:36:15.670608+00
2026-01-29 23:39:15.701058+00,36,proportional: imbalance=1.36MWh,1.3625546564511344,2026-01-29 23:39:15.713848+00
